Date,Type,Lat,Long,Region,Text
2079-05-01,Total,66.2,-46.3,North America,"2079-05-01:: Total: United States, Canada, Greenland; Partial: west Americas, Europe, Africa, Asia"
2079-10-24,Annular,-63.4,-160.6,Antarctic Ocean,"2079-10-24:: Annular: Antarctica, New Zealand; Partial: South America"
2080-03-21,Partial,-60.9,85.9,Antarctic Ocean,"2080-03-21:: Partial: Antarctica, Africa"
2080-09-13,Partial,61.1,25.8,Europe,"2080-09-13:: Partial: North America, Europe, Africa"
2081-03-10,Annular,-22.4,-36.7,South Atlantic Ocean,"2081-03-10:: Annular: Chile, Argentina, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon; Partial: South America, Africa, Antarctica"
2081-09-03,Total,24.6,53.6,Indian Ocean,"2081-09-03:: Total: Central Europe, France, Switzerland, Austria, Slovenia, Hungary, Croatia, Serbia, Romania, Greece, Bulgaria, Turkey, Syria, Iraq, Kuwait, Qatar, UAE, Saudi Arabia, Oman; Partial: Africa, Europe, Asia"
2082-02-27,Annular,9.4,-47.1,North Atlantic Ocean,"2082-02-27:: Annular: Peru, Brazil, Suriname, French Guiana, Portugal, Spain, France, Italy, Germany, Austria; Partial: Americas, Europe, Africa"
2082-08-24,Total,-10.3,151.8,South Pacific Ocean,"2082-08-24:: Total: Indonesia, New Guinea, South Pacific; Partial: Indies, Australia, Antarctica, New Zealand"
2083-02-16,Partial,61.6,-154.1,North America,"2083-02-16:: Partial: Mexico, United States, Canada"
2083-07-15,Partial,64,-37.7,North Atlantic Ocean,2083-07-15:: Partial: Greenland
2083-08-13,Partial,-62.1,-67.5,Antarctic Ocean,"2083-08-13:: Partial: South America, Antarctica"
2084-01-07,Partial,-64.4,68.5,Antarctic Ocean,"2084-01-07:: Partial: Antarctica, South America"
2084-07-03,Annular,75,-169.1,Arctic Ocean,"2084-07-03:: Annular: Russia, United States, Canada; Partial: northern Europe, Asia, North America"
2084-12-27,Total,-47.3,47.7,Indian Ocean,"2084-12-27:: Total: South Atlantic, Indian Ocean; Partial: Africa, Antarctica, Australia"
2085-06-22,Annular,26.2,131.3,North Pacific Ocean,"2085-06-22:: Annular: India, Myanmar, China, central Pacific; Partial: Asia, Indies, Australia"
2085-12-16,Annular,-7.3,-160.8,South Pacific Ocean,"2085-12-16:: Annular: central Pacific; Partial: Australia, North America"
2086-06-11,Total,-23.2,12.5,South Atlantic Ocean,"2086-06-11:: Total: Namibia, Botswana, South Africa; Partial: South America, Africa"
2086-12-06,Partial,67.4,96.2,Asia,2086-12-06:: Partial: Asia
2087-05-02,Partial,70.3,127.6,Asia,"2087-05-02:: Partial: north Europe, north Asia, North America"
2087-06-01,Partial,-67.8,165.4,Antarctic Ocean,2087-06-01:: Partial: New Zealand
2087-10-26,Partial,-71,-130.5,Antarctic Ocean,"2087-10-26:: Partial: South America, Antarctica"
2088-04-21,Total,36,15.1,North Atlantic Ocean,"2088-04-21:: Total: Mauritania, western Sahara, Mali, Algeria, Tunisia, Greece, Turkey, Russia, Kazakhstan, China; Partial: North America, Africa, Europe, Asia"
2088-10-14,Annular,-39.7,-56,South Atlantic Ocean,"2088-10-14:: Annular: Chile, Argentina; Partial: South America, Antarctica, Africa"
2089-04-10,Annular,-10.2,-154.8,South Pacific Ocean,"2089-04-10:: Annular: Australia, central Pacific; Partial: Antarctica, North America"
2089-10-04,Total,7.4,162.8,North Pacific Ocean,"2089-10-04:: Total: China, Central Pacific; Partial: Asia, Indies, Australia"
2090-03-31,Partial,-72.1,-156.3,Antarctic Ocean,"2090-03-31:: Partial: Antarctica, Australia, New Zealand"
2090-09-23,Total,60.7,-40.5,North Atlantic Ocean,"2090-09-23:: Total: Canada, Greenland, United Kingdom, France; Partial: North America, Europe, Africa, north Asia"
2091-02-18,Partial,71.2,-17.8,Arctic Ocean,"2091-02-18:: Partal: North Africa, Europe, Asia"
2091-08-15,Total,-55.6,150.5,South Pacific Ocean,"2091-08-15:: Total: southern Antarctic Ocean, near Antarctica; Partial: Australia, Antarctica, New Zealand"
2092-02-07,Annular,9.9,-48.7,North Atlantic Ocean,"2092-02-07:: Annular: Panama, Colombia, Venezuela, Guyana, Morocco, Algeria; Partial: Americas, Europe, Africa"
2092-08-03,Annular,5.6,30.3,Africa,"2092-08-03:: Annular: Liberia, Ivory Coast, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, Sudan, Kenya, Somalia; Partial: Africa"
2093-01-27,Total,-34.1,136.4,Indian Ocean,"2093-01-27:: Total: Australia; Partial: Indies, Australia, Antarctica, New Zealand"
2093-07-23,Annular,54.6,1.3,North Atlantic Ocean,"2093-07-23:: Annular: United States, Canada, Central Europe, Turkey, Iraq, Iran, Afghanistan, Pakistan; Partial: Americas, Europe, Africa, Asia"
2094-01-16,Total,-84.8,-10.6,Antarctica,"2094-01-16:: Total: Antarctica; Partial: South America, Antarctica, New Zealand"
2094-06-13,Partial,-65.3,-163.6,Antarctic Ocean,"2094-06-13:: Partial: southern Antarctic Ocean, near Antarctica"
2094-07-12,Partial,68,152.8,Asia,"2094-07-12:: Partial: North America, Asia"
2094-12-07,Partial,64.7,-95,North America,2094-12-07:: Partial: North America
2095-06-02,Total,-16.7,37.2,Africa,"2095-06-02:: Total: Namibia, South Africa, Botswana, Zambia, Mozambique, Madagascar; Partial: Africa"
2095-11-27,Annular,7.2,169.8,North Pacific Ocean,"2095-11-27:: Annular: China, Korea, Japan, central Pacific; Partial: Asia, Indies, Australia"
2096-05-22,Total,27.3,153.4,North Pacific Ocean,"2096-05-22:: Total: Indonesia, Central Pacific, Philippines; Partial: Asia, Indies, Australia, North America"
2096-11-15,Annular,-29.7,163.3,South Pacific Ocean,"2096-11-15:: Annular: Malaysia, Borneo, Indonesia, New Guinea, Australia, New Zealand; Partial: Indies, Antarctica"
2097-05-11,Total,67.4,-149.5,North America,"2097-05-11:: Total: Alaska, Russia; Partial: Asia, North America, northern Europe"
2097-11-04,Annular,-65.8,86.8,Antarctic Ocean,2097-11-04:: Annular: Antarctica; Partial: Australia
2098-04-01,Partial,-61,-38.1,Antarctic Ocean,"2098-04-01:: Partial: Antarctica, South America"
2098-09-25,Partial,61.1,-101,North America,"2098-09-25:: Partial: Asia, North America"
2098-10-24,Partial,-61.8,-95.5,Antarctic Ocean,"2098-10-24:: Partial: southern Antarctic Ocean, near Antarctica"
2099-03-21,Annular,-20,-149,South Pacific Ocean,"2099-03-21:: Annular: central Pacific; Partial: Australia, New Zealand, Antarctica, North America"
2099-09-14,Total,23.4,-62.8,North Atlantic Ocean,"2099-09-14:: Total: Canada, United States, central Atlantic; Partial: Americas, Africa"
2100-03-10,Annular,12,-162.4,North Pacific Ocean,"2100-03-10:: Annular: central Pacific, Hawaii, Northwestern United States; Partial: Australia, North America"
2100-09-04,Total,-10.5,39,Africa,"2100-09-04:: Total: central Africa, Madagascar; Partial: Africa, Antarctica"
