Date,Type,Lat,Long,Region,Text
2016-03-09,Total,10.1,148.8,North Pacific Ocean,"2016-03-09:: Total: Indonesia, Micronesia, Marshall Islands; Partial: Southeastern Asia, Korea, Japan, Eastern Russia, Alaska, northwestern Australia, Hawaii, Pacific"
2016-09-01,Annular,-10.7,37.8,Africa,"2016-09-01:: Annular: Atlantic, Central Africa, Madagascar, Indian; Partial: Africa, Indian Ocean"
2017-02-26,Annular,-34.7,-31.2,South Atlantic Ocean,"2017-02-26:: Annular: southern Chile and Argentina, Angola, southwestern Katanga; Partial: Southern and Western Africa, Southern South America, Antarctica"
2017-08-21,Total,37,-87.7,North America,"2017-08-21:: Total: Oregon, Idaho, Wyoming, Nebraska, northeastern Kansas, Missouri, Southern Illinois, Western Kentucky, Tennessee, Southwestern North Carolina, northeastern Georgia, South Carolina; Partial: North America, Hawaii, Greenland, Iceland, British Isles, Portugal, Central America, Caribbean, northern South America, Chukchi Peninsula"
2018-02-15,Partial,-71,0.6,Antarctic Ocean,"2018-02-15:: Partial: Antarctica, Southern South America"
2018-07-13,Partial,-67.9,127.4,Antarctica,"2018-07-13:: Partial: South Australia, Victoria, Tasmania, Indian Ocean, Budd Coast"
2018-08-11,Partial,70.4,174.5,Arctic Ocean,"2018-08-11:: Partial: Northeastern Canada, Greenland, Iceland, Arctic Ocean, Scandinavia, northern British Isles, Russia, northern Asia"
2019-01-06,Partial,67.4,153.6,Asia,"2019-01-06:: Partial: Northeastern Asia, Southwestern Alaska, Aleutian Islands"
2019-07-02,Total,-17.4,-109,South Pacific Ocean,"2019-07-02:: Total: Pitcairn Islands, central Argentina and Chile, Tuamotu Archipelago; Partial: South America, Easter Island, Galapagos Islands, Southern Central America, Polynesia"
2019-12-26,Annular,1,102.3,North Pacific Ocean,"2019-12-26:: Annular: northeastern Pakistan Saudi Arabia, Bahrain, Qatar, United Arab Emirates, Oman, Lakshadweep, Southern India, Sri Lanka, northern Sumatra, southern Malaysia, Singapore, Borneo, central Indonesia, Palau, Micronesia, Guam; Partial: Asia, Western Melanesia, northwestern Australia, Middle East, East Africa"
2020-06-21,Annular,30.5,79.7,Asia,"2020-06-21:: Annular: Democratic Republic of the Congo, Sudan, Ethiopia, Eritrea, Yemen, Empty Quarter, Oman, southern Pakistan, northern India, New Delhi, Tibet, southern China, Chongqing, Taiwan; Partial: Asia, Southeastern Europe, Africa, Middle East, West Melanesia, Western Australia, Northern Territory, Cape York Peninsula"
2020-12-14,Total,-40.3,-67.9,South America,"2020-12-14:: Total: Southern Chile and Argentina, Kiribati, Polynesia; Partial: Central and Southern South America, Southwest Africa, Antarctic Peninsula, Ellsworth Land, Western Queen Maud Land"
2021-06-10,Annular,80.8,-66.8,Arctic Ocean,"2021-06-10:: Annular: Northern Canada, Greenland, Russia; Partial: Northern North America, Europe, Asia"
2021-12-04,Total,-76.8,-46.2,Antarctic Ocean,"2021-12-04:: Total: Antarctica; Partial: South Africa, South Atlantic"
2022-04-30,Partial,-62.1,-71.5,Antarctic Ocean,"2022-04-30:: Partial: Southeast Pacific, Southern South America"
2022-10-25,Partial,61.6,77.4,Asia,"2022-10-25:: Partial: Europe, northeast Africa, Mid East, West Asia"
2023-04-20,Hybrid,-9.6,125.8,Indian Ocean,"2023-04-20:: Hybrid: Indonesia, Australia, Papua New Guinea; Partial: Southeast Asia, East Indies, Philippines, New Zealand"
2023-10-14,Annular,11.4,-83.1,North Atlantic Ocean,"2023-10-14:: Annular: Western United States, Central America, Colombia, Brazil; Partial: North America, Central America, South America"
2024-04-08,Total,25.3,-104.1,North America,"2024-04-08:: Total: Mexico, central and northeastern United States, East Canada; Partial: North America, Central America"
2024-10-02,Annular,-22,-114.5,South Pacific Ocean,"2024-10-02:: Annular: Southern Chile, Southern Argentina; Partial: Pacific, Southern South America"
2025-03-29,Partial,61.1,-77.1,North America,"2025-03-29:: Partial: Northwest Africa, Europe, northern Russia"
2025-09-21,Partial,-60.9,153.5,Antarctic Ocean,"2025-09-21:: Partial: South Pacific, New Zealand, Antarctica"
2026-02-17,Annular,-64.7,86.8,Antarctic Ocean,"2026-02-17:: Annular: Antarctica; Partial: South Argentina, Chile, South Africa, Antarctica"
2026-08-12,Total,65.2,-25.2,North Atlantic Ocean,"2026-08-12:: Total: Arctic, Greenland, Iceland, Spain, Northeastern Portugal; Partial: Northern North America, Western Africa, Europe"
2027-02-06,Annular,-31.3,-48.5,South Atlantic Ocean,"2027-02-06:: Annular: Chile, Argentina, Atlantic; Partial: South America, Antarctica, West and South Africa"
2027-08-02,Total,25.5,33.2,Africa,"2027-08-02:: Total: Morocco, Spain, Algeria, Tunisia, Libya, Egypt, Saudi Arabia, Yemen, Somalia; Partial: Africa, Europe, Mid East, West and South Asia"
2028-01-26,Annular,3,-51.5,South America,"2028-01-26:: Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal; Partial: Eastern North America, Central and South America, Western Europe, northwest Africa"
2028-07-22,Total,-15.6,126.7,Australia,"2028-07-22:: Total: Australia, New Zealand; Partial: Southeast Asia, East Indies"
2029-01-14,Partial,63.7,-114.2,North America,"2029-01-14:: Partial: North America, Central America"
2029-06-12,Partial,66.8,-66.2,North America,"2029-06-12:: Partial: Arctic, Scandinavia, Alaska, northern Asia, northern Canada"
2029-07-11,Partial,-64.3,-85.6,Antarctic Ocean,"2029-07-11:: Partial: Southern Chile, Southern Argentina"
2029-12-05,Partial,-67.5,135.7,Antarctica,"2029-12-05:: Partial: Southern Argentina, Southern Chile, Antarctica"
2030-06-01,Annular,56.5,80.1,Asia,"2030-06-01:: Annular: Algeria, Tunisia, Greece, Turkey, Russia, northern China, Japan; Partial: Europe, Northern Africa, Mid East, Asia, Arctic, Alaska"
2030-11-25,Total,-43.6,71.2,Indian Ocean,"2030-11-25:: Total: Botswana, South Africa, Australia; Partial: South Africa, Southern Indian Ocean, East Indies, Australia, Antarctica"
2031-05-21,Annular,8.9,71.7,Indian Ocean,"2031-05-21:: Annular: Angola, Republic of the Congo, Zambia, Tanzania, south Indian Ocean, Malaysia, Borneo, Indonesia; Partial: Africa, south Asia, East Indies, Australia"
2031-11-14,Hybrid,-0.6,-137.6,South Pacific Ocean,"2031-11-14:: Hybrid: Pacific, Panama; Partial: south United States, Central America, northwest South America"
2032-05-09,Annular,-51.3,-7.1,South Atlantic Ocean,"2032-05-09:: Annular: south Atlantic; Partial: south South America, South Africa"
2032-11-03,Partial,70.4,132.6,Asia,2032-11-03:: Partial: Asia
2033-03-30,Total,71.3,-155.8,Arctic Ocean,"2033-03-30:: Total: east Russia, Alaska; Partial: North America"
2033-09-23,Partial,-72.2,-121.2,Antarctic Ocean,"2033-09-23:: Partial: south South America, Antarctica"
2034-03-20,Total,16.1,22.2,Africa,"2034-03-20:: Total: Nigeria, Cameroon, Chad, Sudan, Egypt, Saudi Arabia, Iran, Afghanistan, Pakistan, India, China; Partial: Africa, Europe, west Asia"
2034-09-12,Annular,-18.2,-72.6,South Pacific Ocean,"2034-09-12:: Annular: Chile, Bolivia, Argentina, Paraguay, Brazil; Partial: Central America, South America"
2035-03-09,Annular,-29,-154.9,South Pacific Ocean,"2035-03-09:: Annular: New Zealand, Pacific; Partial: Australia, Mexico, Antarctica"
2035-09-02,Total,29.1,158,North Pacific Ocean,"2035-09-02:: Total: China, Korea, Japan, Pacific; Partial: east Asia, Pacific"
2036-02-27,Partial,-71.6,-131.4,Antarctic Ocean,"2036-02-27:: Partial: Antarctica, south Australia, New Zealand"
2036-07-23,Partial,-68.9,3.6,Antarctic Ocean,2036-07-23:: Partial: south Atlantic
2036-08-21,Partial,71.1,47,Arctic Ocean,"2036-08-21:: Partial: Alaska, Canada, Arctic, west Europe, northwest Africa"
2037-01-16,Partial,68.5,20.8,Europe,"2037-01-16:: Partial: north Africa, Europe, Mid East, west Asia"
2037-07-13,Total,-24.8,139.1,Australia,"2037-07-13:: Total: Australia, New Zealand; Partial: East Indies, Australia, Pacific"
2038-01-05,Annular,2.1,-25.4,North Atlantic Ocean,"2038-01-05:: Annular: Cuba, Dominican Republic, Cote d'Ivoire, Ghana, Niger, Chad, Egypt; Partial: east North America, north South America, Atlantic, Africa, Europe"
2038-07-02,Annular,25.4,-21.9,North Atlantic Ocean,"2038-07-02:: Annular: Colombia, Venezuela, Mauritania, Morocco, Mali, Niger, Chad, Sudan, Ethiopia, Kenya; Partial: North and Central America, South America, Africa, Europe, Mid East"
2038-12-26,Total,-40.3,164,South Pacific Ocean,"2038-12-26:: Total: Australia, New Zealand, south Pacific; Partial: southeast Asia, East Indies, Australia, New Zealand, south Pacific, Antarctica"
2039-06-21,Annular,78.9,-102.1,North America,"2039-06-21:: Annular: Alaska, north Canada, Norway, Sweden, Finland, Estonia, Russia; Partial: North America, west Europe"
2039-12-15,Total,-80.9,172.8,Antarctic Ocean,2039-12-15:: Total: Antarctica; Partial: south South America
2040-05-11,Partial,-62.8,174.4,Antarctic Ocean,"2040-05-11:: Partial: Australia, New Zealand, Antarctica"
2040-11-04,Partial,62.2,-53.4,North Atlantic Ocean,2040-11-04:: Partial: North and Central America
